Orthogroup,Tracheophyte,Bryophyte,Streptophyte_algae,Chlorophyte_algae,Cyanobacteria
OG0000868,1,1,1,1,1
OG0000869,1,0,0,0,0
OG0000870,1,1,1,1,0
OG0000871,1,1,1,1,0
OG0000872,1,1,0,0,0
OG0000873,1,0,1,0,0
OG0000874,1,1,1,1,0
OG0000875,1,1,1,1,1
OG0000876,1,1,1,1,0
OG0000877,1,1,0,0,0
OG0000878,1,1,1,1,1
OG0000879,1,1,0,0,0
OG0000880,1,0,0,0,0
OG0000881,1,1,1,1,1
OG0000882,1,1,1,1,1
OG0000883,1,1,1,1,0
OG0000884,1,1,1,1,0
OG0000885,1,1,1,0,1
OG0000886,1,1,1,1,1
OG0000887,1,1,1,1,0
OG0000888,1,1,1,1,0
OG0000889,1,1,1,1,0
OG0000890,1,1,1,1,0
OG0000891,1,1,0,0,0
OG0000892,1,1,1,1,0
OG0000893,1,1,1,1,1
OG0000894,1,1,1,1,0
OG0000895,1,1,1,1,0
OG0000896,1,1,1,1,0
OG0000897,1,1,1,1,1
OG0000898,1,1,1,1,0
OG0000899,1,1,1,1,1
OG0000900,1,1,1,1,1
OG0000901,1,1,1,1,1
OG0000902,1,0,0,0,0
OG0000903,0,0,1,0,0
OG0000904,1,0,0,0,0
OG0000905,1,1,1,1,1
OG0000906,1,1,1,1,0
OG0000907,1,1,1,1,0
OG0000908,1,1,1,1,1
OG0000909,1,1,1,1,0
OG0000910,1,1,1,0,0
OG0000911,1,1,1,1,0
OG0000912,1,1,1,1,0
OG0000913,1,1,1,1,0
OG0000914,1,1,1,1,0
OG0000915,1,1,0,0,0
OG0000916,1,0,0,0,0
OG0000917,1,0,0,0,0
OG0000918,1,1,1,0,0
OG0000919,1,1,1,0,0
OG0000920,1,1,1,0,1
OG0000921,1,1,1,1,1
OG0000922,1,1,1,1,1
OG0000923,1,1,1,0,0
OG0000924,1,1,1,1,0
OG0000925,1,1,1,1,0
OG0000926,1,1,1,1,0
OG0000927,1,1,1,1,1
OG0000928,1,1,1,1,0
OG0000929,1,1,1,0,1
OG0000930,1,1,1,0,0
OG0000931,1,1,1,1,0
OG0000932,1,0,1,1,0
OG0000933,1,1,1,1,0
OG0000934,1,1,1,1,1
OG0000935,1,1,0,0,0
OG0000936,1,1,1,1,1
OG0000937,1,1,1,1,0
OG0000938,1,1,1,0,0
OG0000939,1,1,1,1,1
OG0000940,1,1,1,1,0
OG0000941,1,1,1,1,0
OG0000942,1,1,1,1,0
OG0000943,1,1,1,0,0
OG0000944,0,0,1,0,0
OG0000945,0,0,1,0,0
OG0000946,1,1,1,0,0
OG0000947,1,1,1,1,0
OG0000948,1,1,1,1,0
OG0000949,1,0,0,0,0
OG0000950,1,1,1,1,0
OG0000951,1,1,1,1,1
OG0000952,1,1,1,1,1
OG0000953,1,1,1,1,0
OG0000954,0,0,1,0,0
OG0000955,1,1,1,1,0
OG0000956,1,1,1,0,0
OG0000957,1,1,1,0,0
OG0000958,1,1,1,1,0
OG0000959,1,1,0,0,0
OG0000960,1,1,1,1,1
OG0000961,1,1,1,0,0
OG0000962,1,1,1,1,0
OG0000963,1,1,1,1,0
OG0000964,1,1,1,0,0
OG0000965,1,1,1,1,0
OG0000966,1,0,1,0,0
OG0000967,0,0,1,0,0
OG0000968,1,1,1,1,0
OG0000969,1,1,1,1,0
OG0000970,1,1,1,1,0
OG0000971,1,1,1,1,0
OG0000972,1,0,0,0,0
OG0000973,1,1,1,0,1
OG0000974,1,1,1,1,1
OG0000975,1,1,1,1,1
OG0000976,1,1,1,0,0
OG0000977,1,1,1,1,0
OG0000978,1,1,1,1,0
OG0000979,1,0,0,0,0
OG0000980,1,0,0,0,0
OG0000981,0,0,1,0,0
OG0000982,1,0,0,0,0
OG0000983,1,1,1,1,1
OG0000984,1,1,1,1,0
OG0000985,1,1,1,1,0
OG0000986,1,1,1,1,0
OG0000987,1,1,1,1,0
OG0000988,1,1,1,1,0
OG0000989,1,1,1,1,1
OG0000990,1,1,1,0,0
OG0000991,1,1,1,1,0
OG0000992,1,1,1,1,0
OG0000993,1,1,1,1,1
OG0000994,1,1,1,0,1
OG0000995,1,1,1,1,0
OG0000996,1,0,0,0,0
OG0000997,1,1,1,1,0
OG0000998,1,1,1,1,0
OG0000999,1,1,1,1,0
OG0001000,1,1,1,1,0
OG0001001,1,1,1,1,1
OG0001002,1,1,1,1,1
OG0001003,1,1,1,1,0
OG0001004,1,1,1,1,0
OG0001005,1,1,1,1,1
OG0001006,1,1,1,1,0
OG0001007,1,1,1,1,0
OG0001008,1,1,1,0,0
OG0001009,1,1,1,1,0
OG0001010,1,1,1,1,0
OG0001011,1,1,1,1,0
OG0001012,1,1,1,1,0
OG0001013,1,0,0,0,0
OG0001014,1,1,1,1,0
OG0001015,1,1,1,1,1
OG0001016,1,1,1,1,1
OG0001017,1,1,1,1,0
OG0001018,1,1,1,1,1
OG0001019,1,1,1,1,1
OG0001020,1,1,1,1,0
OG0001021,1,0,0,0,0
OG0001022,1,1,1,1,0
OG0001023,1,1,1,0,1
OG0001024,1,1,1,1,0
OG0001025,1,1,1,0,0
OG0001026,1,1,1,1,0
OG0001027,1,1,1,1,1
OG0001028,1,1,1,1,0
OG0001029,1,1,1,1,1
OG0001030,1,1,1,1,0
OG0001031,1,1,1,1,0
OG0001032,1,1,1,1,0
OG0001033,1,1,1,1,1
OG0001034,1,1,0,0,0
OG0001035,1,0,0,0,0
OG0001036,1,0,0,0,0
OG0001037,1,1,1,1,0
OG0001038,1,1,1,1,1
OG0001039,1,1,1,0,0
OG0001040,1,1,1,0,0
OG0001041,1,1,1,1,0
OG0001042,1,1,1,0,1
OG0001043,1,1,1,1,0
OG0001044,1,1,0,1,0
OG0001045,1,1,1,1,1
OG0001046,1,1,1,1,1
OG0001047,1,1,1,1,0
OG0001048,1,1,1,1,1
OG0001049,1,1,1,1,0
OG0001050,1,1,1,1,1
OG0001051,1,1,1,1,0
OG0001052,1,1,1,1,0
OG0001053,1,1,1,1,0
OG0001054,1,1,1,1,0
OG0001055,1,1,1,1,1
OG0001056,1,1,0,0,0
OG0001057,1,1,1,0,0
OG0001058,1,0,0,0,0
OG0001059,1,1,1,1,0
OG0001060,1,1,1,1,0
OG0001061,1,1,1,1,1
OG0001062,1,1,1,1,1
OG0001063,1,1,1,1,1
OG0001064,1,1,1,1,1
OG0001065,1,1,1,0,0
OG0001066,1,1,1,1,1
OG0001067,1,1,1,1,0
OG0001068,1,1,1,0,0
OG0001069,1,1,1,0,0
OG0001070,1,1,1,1,1
OG0001071,1,1,1,0,0
OG0001072,1,1,1,1,1
OG0001073,1,1,0,0,0
OG0001074,1,1,1,1,1
OG0001075,1,1,1,1,0
OG0001076,1,1,1,1,0
OG0001077,1,1,1,1,0
OG0001078,1,1,1,1,0
OG0001079,1,1,1,1,0
OG0001080,1,1,1,1,1
OG0001081,1,1,1,1,1
OG0001082,1,1,1,0,0
OG0001083,1,1,1,0,0
OG0001084,1,1,1,1,0
OG0001085,1,1,1,1,0
OG0001086,1,1,1,1,0
OG0001087,1,1,1,1,1
OG0001088,1,1,1,1,0
OG0001089,1,1,1,1,1
OG0001090,1,1,1,1,0
OG0001091,1,1,1,1,1
OG0001092,1,1,1,1,0
OG0001093,1,1,1,1,0
OG0001094,1,1,1,1,0
OG0001095,1,1,1,1,0
OG0001096,1,1,1,1,0
OG0001097,1,1,1,0,0
OG0001098,1,0,0,0,0
OG0001099,1,1,1,1,1
OG0001100,1,1,1,1,0
OG0001101,1,1,1,1,1
OG0001102,1,1,1,0,0
OG0001103,1,1,1,1,0
OG0001104,1,0,1,0,0
OG0001105,1,1,1,1,0
OG0001106,1,1,1,1,1
OG0001107,1,0,0,0,0
OG0001108,1,0,0,0,0
OG0001109,1,0,0,0,0
OG0001110,1,1,0,0,0
OG0001111,1,1,1,1,1
OG0001112,1,1,1,1,0
OG0001113,1,1,1,1,0
OG0001114,1,1,1,1,0
OG0001115,1,1,1,1,0
OG0001116,1,1,1,1,1
OG0001117,1,1,1,0,0
OG0001118,1,1,1,1,0
OG0001119,0,0,1,0,0
OG0001120,1,1,1,1,0
OG0001121,1,1,1,1,0
OG0001122,1,1,1,1,0
OG0001123,1,1,1,1,0
OG0001124,1,1,1,1,0
OG0001125,1,1,1,1,1
OG0001126,1,1,1,1,0
OG0001127,1,1,1,1,1
OG0001128,1,1,1,1,0
OG0001129,1,1,1,1,0
OG0001130,1,1,1,0,1
OG0001131,1,1,1,0,0
OG0001132,1,1,1,1,0
OG0001133,1,1,1,1,0
OG0001134,1,1,1,1,1
OG0001135,0,1,0,0,0
OG0001136,1,0,0,0,0
OG0001137,1,0,0,0,0
OG0001138,1,0,0,0,0
OG0001139,0,1,0,0,0
OG0001140,1,1,1,1,0
OG0001141,1,1,1,1,0
OG0001142,1,1,0,0,0
OG0001143,1,1,1,1,0
OG0001144,1,1,1,1,1
OG0001145,1,1,1,1,0
OG0001146,1,1,1,1,0
OG0001147,1,1,1,1,0
OG0001148,1,1,1,1,0
OG0001149,1,1,1,1,0
OG0001150,1,1,1,1,0
OG0001151,1,1,1,0,0
OG0001152,1,1,1,1,0
OG0001153,1,1,1,1,0
OG0001154,1,1,1,0,0
OG0001155,1,1,1,0,0
OG0001156,1,1,1,0,0
OG0001157,1,1,1,0,1
OG0001158,1,1,1,1,0
OG0001159,1,1,0,0,0
OG0001160,1,1,1,1,0
OG0001161,1,1,1,1,1
OG0001162,1,1,1,0,0
OG0001163,1,1,1,1,1
OG0001164,1,1,1,1,1
OG0001165,1,1,1,1,1
OG0001166,1,1,1,1,0
OG0001167,1,1,1,1,1
OG0001168,1,1,1,1,0
OG0001169,1,1,1,1,0
OG0001170,1,1,1,0,0
OG0001171,1,1,1,1,0
OG0001172,1,1,1,0,0
OG0001173,1,1,1,1,0
OG0001174,1,1,1,1,0
OG0001175,1,1,1,0,0
OG0001176,1,1,1,1,0
OG0001177,1,1,1,1,0
OG0001178,1,1,1,1,0
OG0001179,1,1,1,1,1
OG0001180,1,0,0,0,0
OG0001181,1,0,0,0,0
OG0001182,1,0,0,0,0
OG0001183,1,1,1,1,0
OG0001184,1,1,1,1,0
OG0001185,1,1,1,1,0
OG0001186,1,1,1,1,0
OG0001187,1,1,1,1,0
OG0001188,1,1,1,1,0
OG0001189,1,1,1,1,0
OG0001190,1,1,1,1,1
OG0001191,1,1,1,1,0
OG0001192,1,1,1,1,0
OG0001193,1,1,1,1,0
OG0001194,1,1,0,0,0
OG0001195,1,1,1,1,0
OG0001196,1,1,0,0,0
OG0001197,1,1,1,1,0
OG0001198,1,1,1,0,0
OG0001199,1,1,1,1,1
OG0001200,1,1,0,0,0
OG0001201,1,1,1,1,0
OG0001202,1,1,1,1,1
OG0001203,1,1,1,1,0
OG0001204,1,1,1,1,0
OG0001205,1,1,1,1,0
OG0001206,1,1,1,1,1
OG0001207,1,1,1,0,0
OG0001208,1,1,0,0,0
OG0001209,1,1,1,1,0
OG0001210,1,1,1,1,0
OG0001211,1,1,1,1,0
OG0001212,1,1,1,1,0
OG0001213,1,1,1,1,0
OG0001214,1,1,1,1,1
OG0001215,1,1,1,1,0
OG0001216,1,1,1,1,1
OG0001217,1,1,1,1,0
OG0001218,1,0,1,0,0
OG0001219,1,1,1,0,0
OG0001220,1,1,1,0,0
OG0001221,1,1,1,1,0
OG0001222,1,1,1,1,0
OG0001223,1,1,1,1,0
OG0001224,1,1,1,1,1
OG0001225,1,1,1,1,0
OG0001226,1,1,1,1,0
OG0001227,1,1,1,1,0
OG0001228,1,1,1,1,1
OG0001229,1,1,1,1,0
OG0001230,1,1,0,0,0
OG0001231,1,1,1,1,0
OG0001232,1,1,0,0,0
OG0001233,1,1,1,1,1
OG0001234,1,1,1,1,1
OG0001235,1,1,1,1,0
OG0001236,1,1,1,1,1
OG0001237,1,1,1,1,0
OG0001238,1,1,1,0,0
OG0001239,1,1,1,1,0
OG0001240,1,1,1,1,0
OG0001241,1,0,0,0,0
OG0001242,1,1,1,1,0
OG0001243,1,1,1,0,0
OG0001244,1,1,1,1,0
OG0001245,1,1,1,1,1
OG0001246,1,1,1,1,0
OG0001247,1,1,1,1,1
OG0001248,1,1,1,1,1
OG0001249,1,1,1,1,0
OG0001250,1,1,1,1,1
OG0001251,1,1,1,1,1
OG0001252,1,1,1,1,1
OG0001253,1,1,1,1,1
OG0001254,1,1,1,1,1
OG0001255,1,0,1,0,0
OG0001256,0,0,1,0,0
OG0001257,0,0,0,1,0
OG0001258,0,0,1,1,1
OG0001259,1,0,0,0,0
OG0001260,1,1,1,1,0
OG0001261,1,1,1,0,0
OG0001262,1,1,1,1,0
OG0001263,1,1,1,1,0
OG0001264,1,1,1,1,0
OG0001265,1,1,1,1,0
OG0001266,1,1,1,1,1
OG0001267,1,1,1,1,0
OG0001268,1,1,1,0,0
OG0001269,1,1,1,1,1
OG0001270,1,1,1,1,0
OG0001271,1,1,1,1,1
OG0001272,1,1,1,1,0
OG0001273,1,1,1,0,0
OG0001274,1,1,1,1,1
OG0001275,1,1,1,1,0
OG0001276,1,1,1,1,0
OG0001277,1,0,0,0,0
OG0001278,0,0,1,0,0
OG0001279,0,0,1,1,0
OG0001280,0,1,0,0,0
OG0001281,0,0,1,0,0
OG0001282,1,1,1,1,0
OG0001283,1,1,1,1,0
OG0001284,1,1,1,1,1
OG0001285,1,1,1,1,1
OG0001286,1,1,1,1,0
OG0001287,1,1,1,1,1
OG0001288,1,1,1,1,0
OG0001289,1,1,1,1,1
OG0001290,1,1,1,1,0
OG0001291,1,1,1,1,1
OG0001292,1,1,1,1,0
OG0001293,1,1,1,1,0
OG0001294,1,1,1,1,0
OG0001295,1,1,1,1,0
OG0001296,1,1,1,1,0
OG0001297,1,1,1,1,1
OG0001298,1,1,1,0,1
OG0001299,1,1,1,1,1
OG0001300,1,1,1,1,1
OG0001301,1,1,1,1,0
OG0001302,1,1,1,1,0
OG0001303,1,1,1,1,1
OG0001304,1,1,1,1,0
OG0001305,1,1,1,1,0
OG0001306,1,1,1,1,0
OG0001307,1,1,1,0,0
OG0001308,1,1,1,0,0
OG0001309,1,1,1,1,1
OG0001310,1,1,1,1,0
OG0001311,1,1,1,1,0
OG0001312,1,1,1,1,1
OG0001313,1,1,1,1,1
OG0001314,1,1,1,1,1
OG0001315,1,1,1,1,1
OG0001316,1,1,1,1,0
OG0001317,1,1,1,1,0
OG0001318,1,1,1,1,0
OG0001319,1,1,0,1,0
OG0001320,0,1,0,0,0
OG0001321,1,1,1,0,0
OG0001322,1,0,0,0,0
OG0001323,1,0,0,0,0
OG0001324,1,1,1,1,0
OG0001325,1,1,1,1,0
OG0001326,1,1,1,0,0
OG0001327,1,1,1,1,0
OG0001328,1,1,1,1,0
OG0001329,1,1,1,1,0
OG0001330,1,1,1,1,0
OG0001331,1,1,1,1,1
OG0001332,1,1,1,1,0
OG0001333,1,1,1,0,0
OG0001334,1,1,1,0,0
OG0001335,1,0,0,0,0
OG0001336,1,1,1,1,0
OG0001337,1,1,1,1,0
OG0001338,0,1,0,0,0
OG0001339,1,1,1,1,1
OG0001340,1,0,0,0,0
OG0001341,1,1,1,1,0
OG0001342,1,1,1,0,0
OG0001343,1,1,1,1,1
OG0001344,1,0,1,1,0
OG0001345,1,1,1,1,0
OG0001346,1,1,1,1,1
OG0001347,1,0,1,0,0
OG0001348,1,1,1,0,0
OG0001349,1,1,1,1,0
OG0001350,1,1,1,1,1
OG0001351,1,1,1,1,1
OG0001352,1,1,1,1,0
OG0001353,1,1,1,1,0
OG0001354,1,1,1,1,0
OG0001355,1,1,1,1,0
OG0001356,1,1,1,1,0
OG0001357,1,1,1,1,0
OG0001358,1,1,1,1,0
OG0001359,1,0,0,0,0
OG0001360,1,1,1,0,0
OG0001361,1,1,1,1,0
OG0001362,1,0,1,0,0
OG0001363,1,1,1,1,0
OG0001364,1,1,1,1,1
OG0001365,1,1,1,1,1
OG0001366,1,1,1,1,1
OG0001367,1,1,1,1,0
OG0001368,1,1,1,1,1
OG0001369,1,1,1,1,0
OG0001370,1,1,1,1,0
OG0001371,1,1,1,1,0
OG0001372,1,1,1,1,0
OG0001373,1,1,1,0,0
OG0001374,1,1,1,1,0
OG0001375,1,1,1,1,1
OG0001376,1,1,1,1,0
OG0001377,1,1,1,1,0
OG0001378,1,1,1,0,0
OG0001379,1,1,1,1,0
OG0001380,1,1,1,0,0
OG0001381,1,1,1,1,1
OG0001382,1,1,1,1,0
OG0001383,1,1,1,1,0
OG0001384,1,1,1,1,0
OG0001385,1,1,1,1,1
OG0001386,1,1,0,0,0
OG0001387,0,0,1,0,0
OG0001388,1,0,0,0,0
OG0001389,1,1,1,1,1
OG0001390,1,1,1,1,0
OG0001391,1,1,1,1,0
OG0001392,1,1,1,1,0
OG0001393,1,1,1,1,1
OG0001394,1,1,1,0,0
OG0001395,1,1,1,1,0
OG0001396,1,1,1,1,1
OG0001397,1,1,1,1,0
OG0001398,1,1,1,1,0
OG0001399,1,1,1,0,0
OG0001400,1,1,1,0,0
OG0001401,1,1,1,1,0
OG0001402,1,1,1,1,0
OG0001403,1,1,1,1,0
OG0001404,1,1,1,1,1
OG0001405,1,1,1,1,0
OG0001406,1,1,1,1,1
OG0001407,1,1,1,1,1
OG0001408,1,1,0,0,0
OG0001409,1,1,0,0,0
OG0001410,1,1,1,1,0
OG0001411,1,1,1,1,0
OG0001412,1,1,1,1,1
OG0001413,1,1,1,1,0
OG0001414,1,1,1,1,0
OG0001415,1,0,0,0,0
OG0001416,1,0,0,0,0
OG0001417,1,1,1,1,0
OG0001418,1,1,1,1,1
OG0001419,1,1,1,1,1
OG0001420,1,1,1,1,1
OG0001421,1,1,1,1,0
OG0001422,1,1,1,1,0
OG0001423,1,1,1,1,1
OG0001424,1,1,1,1,0
OG0001425,1,1,1,1,0
OG0001426,1,1,1,0,0
OG0001427,1,1,1,1,0
OG0001428,1,1,1,1,1
OG0001429,1,1,1,1,0
OG0001430,1,1,1,1,1
OG0001431,1,1,1,1,0
OG0001432,1,1,1,1,1
OG0001433,1,1,1,1,1
OG0001434,1,1,1,1,0
OG0001435,1,1,1,1,1
OG0001436,1,1,1,1,0
OG0001437,1,1,1,1,1
OG0001438,1,1,1,1,0
OG0001439,1,1,1,0,0
OG0001440,1,1,1,0,0
OG0001441,1,1,1,1,0
OG0001442,1,1,0,1,1
OG0001443,0,0,1,1,0
OG0001444,1,1,1,0,0
OG0001445,1,1,1,0,0
OG0001446,1,0,0,0,0
OG0001447,1,1,1,1,0
OG0001448,1,1,1,1,0
OG0001449,1,1,1,1,0
OG0001450,1,1,0,0,0
OG0001451,1,1,0,0,0
OG0001452,1,1,1,1,0
OG0001453,1,0,0,0,0
OG0001454,1,1,1,0,0
OG0001455,1,1,1,1,0
OG0001456,1,1,1,1,0
OG0001457,1,1,1,1,0
OG0001458,1,1,1,1,0
OG0001459,1,1,1,0,0
OG0001460,1,1,1,1,0
OG0001461,1,1,1,0,0
OG0001462,1,1,1,1,0
OG0001463,1,1,1,1,0
OG0001464,1,1,1,1,1
OG0001465,1,1,1,1,0
OG0001466,1,1,0,0,0
OG0001467,1,1,1,1,1
OG0001468,1,1,1,1,0
OG0001469,1,1,1,0,1
OG0001470,1,0,1,1,0
OG0001471,1,1,1,1,0
OG0001472,0,0,1,0,0
OG0001473,1,0,0,0,0
OG0001474,1,1,0,0,0
OG0001475,1,1,1,1,0
OG0001476,1,1,1,1,0
OG0001477,1,1,1,0,0
OG0001478,1,1,1,0,0
OG0001479,1,1,1,1,0
OG0001480,1,1,1,1,0
OG0001481,1,1,1,1,1
OG0001482,1,1,0,0,0
OG0001483,1,1,1,1,0
OG0001484,1,1,1,1,0
OG0001485,1,1,1,1,1
OG0001486,1,1,1,1,0
OG0001487,1,1,1,1,0
OG0001488,1,1,1,1,0
OG0001489,1,1,1,1,0
OG0001490,1,1,1,1,1
OG0001491,1,1,0,1,0
OG0001492,1,1,1,1,0
OG0001493,1,1,1,1,0
OG0001494,1,1,1,0,0
OG0001495,1,1,1,0,0
OG0001496,1,1,1,1,0
OG0001497,1,1,1,1,0
OG0001498,1,1,1,1,0
OG0001499,1,1,1,1,0
OG0001500,1,1,1,1,0
OG0001501,1,0,0,0,0
OG0001502,0,0,1,0,0
OG0001503,0,1,1,1,1
OG0001504,1,0,0,0,0
OG0001505,1,1,0,0,0
OG0001506,1,1,1,1,0
OG0001507,1,1,1,1,0
OG0001508,1,1,0,0,0
OG0001509,1,1,1,1,0
OG0001510,1,1,1,1,1
OG0001511,1,1,1,1,1
OG0001512,1,1,1,1,1
OG0001513,1,1,1,1,1
OG0001514,1,1,1,1,0
OG0001515,1,1,1,1,1
OG0001516,1,1,1,1,0
OG0001517,1,1,1,1,0
OG0001518,1,1,1,1,0
OG0001519,1,1,1,1,1
OG0001520,1,1,1,1,1
OG0001521,1,1,1,1,1
OG0001522,1,1,1,1,0
OG0001523,1,1,1,0,0
OG0001524,1,1,1,1,0
OG0001525,1,1,1,1,1
OG0001526,1,1,1,1,0
OG0001527,1,1,1,0,0
OG0001528,1,1,1,1,0
OG0001529,1,1,1,1,1
OG0001530,1,1,1,0,0
OG0001531,1,1,1,1,0
OG0001532,1,1,1,1,0
OG0001533,1,1,1,1,1
OG0001534,1,1,1,1,0
OG0001535,1,1,1,1,0
OG0001536,1,1,1,1,0
OG0001537,1,1,1,0,0
OG0001538,1,1,1,1,1
OG0001539,1,1,1,0,0
OG0001540,1,1,0,0,0
OG0001541,0,0,1,0,0
OG0001542,0,0,1,0,0
OG0001543,1,0,0,0,0
OG0001544,1,1,1,0,0
OG0001545,1,1,1,1,0
OG0001546,1,1,1,1,0
OG0001547,1,1,1,1,0
OG0001548,1,1,1,1,0
OG0001549,1,1,1,1,0
OG0001550,1,1,1,1,0
OG0001551,1,1,1,1,0
OG0001552,1,1,1,1,1
OG0001553,1,1,1,1,0
OG0001554,1,1,1,0,0
OG0001555,1,1,1,1,0
OG0001556,1,1,1,1,1
OG0001557,1,1,1,1,0
OG0001558,1,1,0,0,0
OG0001559,1,1,1,1,0
OG0001560,1,1,1,1,0
OG0001561,1,1,1,1,0
OG0001562,1,1,1,0,0
OG0001563,1,1,1,1,0
OG0001564,1,1,1,1,0
OG0001565,1,1,1,1,0
OG0001566,1,1,1,1,0
OG0001567,1,1,1,1,0
OG0001568,1,1,1,1,0
OG0001569,1,1,1,1,1
OG0001570,1,0,0,0,0
OG0001571,1,1,1,1,0
OG0001572,1,1,1,1,0
OG0001573,1,1,1,1,0
OG0001574,1,1,1,0,0
OG0001575,1,1,1,1,0
OG0001576,1,1,1,0,0
OG0001577,1,1,1,0,0
OG0001578,1,1,1,0,1
OG0001579,0,0,1,0,0
OG0001580,1,1,1,1,1
OG0001581,1,1,1,1,1
OG0001582,1,1,1,1,0
OG0001583,1,1,0,1,0
OG0001584,1,1,1,1,1
OG0001585,1,1,1,1,0
OG0001586,1,1,1,1,0
OG0001587,1,1,1,0,0
OG0001588,1,1,1,1,0
OG0001589,1,1,1,1,0
OG0001590,1,1,1,1,1
OG0001591,1,1,1,1,0
OG0001592,1,1,1,1,0
OG0001593,1,1,1,1,1
OG0001594,1,1,1,1,0
OG0001595,1,1,1,1,0
OG0001596,1,1,1,1,0
OG0001597,1,1,1,1,1
OG0001598,1,1,1,1,0
OG0001599,1,0,0,0,0
OG0001600,1,0,0,0,0
OG0001601,1,0,0,0,0
OG0001602,1,1,1,1,0
OG0001603,1,1,1,1,1
OG0001604,1,1,1,1,0
OG0001605,1,1,0,0,0
OG0001606,1,1,1,1,0
OG0001607,1,1,1,1,0
OG0001608,1,1,1,1,0
OG0001609,1,1,1,1,0
OG0001610,1,1,1,1,1
OG0001611,1,1,0,0,0
OG0001612,1,1,1,1,1
OG0001613,1,1,1,1,0
OG0001614,1,1,1,1,0
OG0001615,1,1,1,1,1
OG0001616,1,1,1,1,0
OG0001617,1,1,1,1,0
OG0001618,1,1,1,0,0
OG0001619,1,1,1,1,1
OG0001620,1,1,1,1,0
OG0001621,1,1,1,1,1
OG0001622,1,1,1,1,1
OG0001623,1,1,1,1,1
OG0001624,1,0,0,0,0
OG0001625,1,0,0,0,0
OG0001626,0,1,1,0,0
OG0001627,1,1,1,1,0
OG0001628,1,1,1,1,0
OG0001629,1,1,1,1,0
OG0001630,1,1,1,1,0
OG0001631,1,1,1,1,0
OG0001632,1,1,1,1,0
OG0001633,1,1,1,1,0
OG0001634,1,1,1,1,0
OG0001635,1,1,1,1,0
OG0001636,1,1,1,1,0
OG0001637,1,1,1,1,0
OG0001638,1,1,1,1,1
OG0001639,1,1,1,1,1
OG0001640,1,1,1,1,0
OG0001641,1,1,1,1,1
OG0001642,1,1,1,1,0
OG0001643,1,1,1,1,0
OG0001644,1,1,1,0,0
OG0001645,1,1,1,1,0
OG0001646,1,1,1,1,1
OG0001647,1,1,1,1,0
OG0001648,1,0,0,0,0
OG0001649,1,1,1,1,1
OG0001650,1,1,1,1,1
OG0001651,1,1,1,1,0
OG0001652,1,1,1,1,0
OG0001653,1,1,1,1,0
OG0001654,1,1,1,1,0
OG0001655,1,0,1,1,0
OG0001656,1,0,0,0,0
OG0001657,0,0,1,0,0
OG0001658,0,0,0,1,0
OG0001659,0,0,0,1,0
OG0001660,1,1,1,1,0
OG0001661,1,1,1,1,0
OG0001662,1,1,1,1,0
OG0001663,1,1,1,1,0
OG0001664,1,1,1,1,0
OG0001665,1,1,1,1,0
OG0001666,1,1,1,1,1
OG0001667,1,1,1,1,1
OG0001668,1,1,1,1,1
OG0001669,1,1,1,1,0
OG0001670,1,1,1,1,1
OG0001671,1,1,1,0,0
OG0001672,1,1,1,1,0
OG0001673,1,1,1,1,0
OG0001674,1,1,1,1,1
OG0001675,1,1,0,0,0
OG0001676,1,1,1,1,0
OG0001677,1,1,1,1,0
OG0001678,1,1,1,1,0
OG0001679,1,1,1,0,0
OG0001680,1,1,0,0,0
OG0001681,1,1,1,1,1
OG0001682,1,1,1,1,0
OG0001683,1,1,1,1,0
OG0001684,1,1,1,1,1
OG0001685,1,1,1,1,0
OG0001686,1,1,1,1,0
OG0001687,1,1,1,1,0
OG0001688,1,1,1,1,0
OG0001689,1,1,0,1,1
OG0001690,1,1,1,1,0
OG0001691,1,1,1,1,0
OG0001692,1,0,0,0,0
OG0001693,1,1,1,1,0
OG0001694,1,1,1,1,1
OG0001695,1,1,1,1,0
OG0001696,1,0,0,0,0
OG0001697,1,1,1,0,0
OG0001698,1,1,0,1,0
OG0001699,1,1,0,0,0
OG0001700,1,1,1,1,0
OG0001701,1,1,1,1,0
OG0001702,1,0,0,0,0
OG0001703,1,1,1,1,0
OG0001704,1,1,1,1,0
OG0001705,1,1,1,1,0
OG0001706,1,1,1,1,0
OG0001707,1,1,1,1,0
OG0001708,1,1,1,0,0
OG0001709,1,1,1,0,0
OG0001710,1,1,1,1,0
OG0001711,1,1,1,1,0
OG0001712,1,1,1,1,1
OG0001713,1,1,1,0,0
OG0001714,1,1,1,1,0
OG0001715,1,1,1,1,0
OG0001716,1,1,1,1,0
OG0001717,1,1,1,1,0
OG0001718,1,1,0,0,0
OG0001719,1,1,1,1,0
OG0001720,1,1,1,1,0
OG0001721,1,1,1,1,0
OG0001722,1,1,1,1,1
OG0001723,1,1,1,1,0
OG0001724,1,0,0,0,0
OG0001725,1,1,1,1,0
OG0001726,0,1,1,1,0
OG0001727,0,0,0,1,0
OG0001728,1,0,0,0,0
OG0001729,1,1,1,1,0
OG0001730,1,1,1,1,0
OG0001731,1,1,1,1,1
OG0001732,1,1,1,0,0
OG0001733,1,1,1,0,0
OG0001734,1,1,1,1,0
OG0001735,1,1,1,0,0
OG0001736,1,1,1,1,1
OG0001737,1,1,1,0,0
OG0001738,1,1,0,0,0
